battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1742,1,0.5,1,5.0,1,43,0.9,176,3,7.0,356.0,1407,1921,9,2.0,3,1,1,0,2
1472,0,3.0,0,4.0,1,20,0.3,169,2,6.0,443.0,892,797,6,1.0,11,1,1,0,0
1642,1,1.6,1,4.0,0,5,0.4,102,5,2.0,1686.0,1889,1333,18,10.0,2,0,0,1,2
642,0,2.8,0,3.0,0,34,0.8,197,2,15.0,331.0,1011,3355,12,5.0,13,0,0,0,2
1694,1,0.6,0,6.0,1,34,0.3,102,7,7.0,377.0,549,2298,17,5.0,2,1,1,0,2
930,1,0.5,1,3.0,1,34,0.5,190,4,16.0,1050.0,1726,2131,7,2.0,6,1,0,1,2
1824,1,1.9,1,9.0,1,2,0.7,103,1,14.0,50.0,1105,3958,12,2.0,19,1,1,0,3
1380,1,2.1,1,1.0,1,4,0.8,92,3,13.0,420.0,500,797,13,2.0,15,1,1,0,0
1880,1,2.0,0,11.0,0,35,0.1,200,4,14.0,930.0,1983,1930,17,7.0,15,0,1,0,2
1694,0,1.8,0,2.0,0,53,1.0,186,6,13.0,1194.0,1208,1653,7,5.0,6,1,0,0,2
1807,1,2.1,0,2.0,0,49,0.8,125,1,10.0,337.0,1384,1906,17,13.0,13,0,1,1,2
1830,1,1.0,0,7.0,1,47,0.3,117,1,11.0,1191.0,1882,3362,13,10.0,11,1,0,0,3
745,1,0.6,1,5.0,0,35,0.8,102,8,10.0,89.0,1538,2459,14,1.0,16,1,1,0,1
707,0,2.1,1,2.0,0,25,0.8,131,3,17.0,495.0,574,3838,9,2.0,7,1,0,1,3
1681,1,2.5,0,2.0,0,11,0.4,158,2,13.0,195.0,1205,1122,12,6.0,16,0,1,1,0
1590,0,1.5,1,12.0,1,14,0.5,187,4,15.0,1058.0,1109,2836,6,5.0,4,1,0,0,3
1763,0,2.9,1,1.0,1,53,0.2,101,4,20.0,138.0,806,2066,12,9.0,17,1,1,1,1
1369,1,1.7,1,3.0,0,28,0.6,108,1,18.0,1451.0,1469,3206,16,15.0,4,0,0,0,3
918,0,0.9,1,1.0,0,8,0.1,123,7,5.0,653.0,671,1652,17,4.0,14,1,1,0,1
1579,1,1.5,0,5.0,0,27,0.2,142,6,18.0,831.0,1484,1713,16,4.0,10,1,1,1,1
1138,0,1.4,0,12.0,1,44,0.2,187,8,17.0,111.0,1138,3475,19,3.0,3,1,0,0,3
1640,1,0.7,0,10.0,1,21,0.8,169,7,14.0,589.0,1301,337,16,3.0,5,1,1,0,0
1219,0,1.6,1,5.0,0,4,0.3,169,6,7.0,1419.0,1698,1998,9,2.0,4,0,0,0,2
1270,1,0.6,1,2.0,1,32,0.5,101,7,6.0,299.0,845,3770,5,3.0,13,1,1,0,3
1670,1,1.6,1,12.0,0,47,0.8,139,8,15.0,1706.0,1886,876,16,12.0,5,1,1,0,1
860,1,1.6,1,13.0,0,48,0.5,187,7,18.0,335.0,1463,1870,17,2.0,18,1,0,0,1
793,1,2.8,1,1.0,1,64,0.4,179,4,2.0,818.0,1006,2296,12,5.0,5,1,1,0,1
814,1,1.1,1,2.0,0,41,0.8,177,2,10.0,1092.0,1406,1944,16,6.0,12,1,0,0,1
688,0,2.5,1,2.0,0,57,0.8,131,7,3.0,426.0,1964,3745,17,1.0,4,0,1,0,3
1205,0,0.5,1,3.0,0,12,0.6,175,4,6.0,573.0,614,860,14,1.0,14,1,0,1,0
1225,1,2.1,1,8.0,0,13,0.5,116,4,12.0,759.0,1404,3836,12,11.0,11,0,0,0,3
1688,0,2.5,0,8.0,1,21,0.2,170,7,17.0,650.0,864,3984,17,14.0,8,1,1,1,3
1965,1,0.5,0,4.0,1,29,0.5,149,5,13.0,584.0,676,2973,11,1.0,20,1,1,1,3
586,0,2.8,0,2.0,0,15,0.2,83,3,11.0,241.0,854,2592,12,8.0,3,0,0,0,1
1395,1,2.8,0,6.0,1,55,0.6,118,3,1.0,782.0,1787,3373,11,2.0,16,1,1,0,3
825,1,0.5,1,7.0,0,52,0.9,130,3,10.0,597.0,863,3534,10,4.0,6,0,1,0,3
1462,1,1.7,1,1.0,0,25,0.2,182,7,18.0,91.0,1478,824,15,5.0,13,1,0,1,0
1220,1,2.8,0,1.0,0,54,0.7,109,7,20.0,383.0,1249,1037,6,4.0,15,1,0,0,0
520,0,2.3,0,1.0,1,31,0.8,145,6,14.0,264.0,519,2753,13,7.0,17,1,0,1,1
915,1,0.5,1,9.0,1,33,0.3,199,2,16.0,503.0,986,2156,7,3.0,13,1,1,0,1
1864,0,1.4,0,8.0,1,46,0.7,178,1,12.0,168.0,981,2686,11,7.0,18,1,1,1,2
1996,1,2.8,1,6.0,1,7,0.1,138,5,4.0,937.0,1083,1258,17,14.0,16,1,0,0,1
1028,1,2.8,0,1.0,1,30,0.1,193,1,10.0,1801.0,1923,1424,18,4.0,13,1,0,1,1
837,0,2.4,1,1.0,0,51,0.2,104,5,15.0,638.0,1831,594,16,6.0,20,1,0,1,0
1564,0,1.4,0,5.0,1,26,0.1,129,6,16.0,117.0,1115,3742,13,3.0,13,1,1,0,3
909,1,0.7,1,7.0,0,47,0.1,146,3,9.0,410.0,1643,1244,14,10.0,16,0,1,0,0
1843,1,1.8,1,13.0,1,16,0.7,134,6,18.0,118.0,580,3213,15,14.0,15,1,1,0,3
1617,1,2.6,0,14.0,0,29,0.9,113,6,20.0,283.0,676,3685,13,1.0,18,0,0,0,3
1492,1,1.5,0,5.0,0,11,0.9,85,3,7.0,1684.0,1746,2259,14,12.0,19,0,1,1,3
823,1,0.5,0,6.0,0,39,0.4,187,8,4.0,630.0,888,294,13,9.0,11,0,0,1,0
676,0,2.2,0,1.0,1,39,0.2,84,1,5.0,864.0,1011,2064,13,7.0,6,1,0,0,1
1645,1,1.8,0,1.0,0,21,0.7,123,7,2.0,897.0,1308,783,10,8.0,20,1,0,0,0
1975,1,1.5,0,6.0,1,16,0.9,128,8,11.0,80.0,655,2998,5,4.0,13,1,1,0,2
1610,1,2.9,0,7.0,1,64,0.9,181,4,12.0,1236.0,1280,941,8,4.0,9,1,1,0,1
922,1,0.7,0,14.0,1,47,1.0,157,8,14.0,1295.0,1808,1464,17,4.0,12,1,0,1,1
921,0,0.6,1,1.0,0,60,0.1,83,2,3.0,1211.0,1229,1080,10,11.0,6,0,0,1,0
622,0,0.7,0,2.0,1,9,0.3,127,2,17.0,98.0,511,3916,13,1.0,5,1,0,1,2
1520,1,2.2,0,5.0,1,33,0.5,177,8,18.0,151.0,1005,3826,14,9.0,13,1,1,1,3
1665,1,0.5,0,3.0,1,60,0.2,194,6,18.0,1572.0,1684,1601,18,17.0,14,1,0,0,2
1193,1,3.0,0,10.0,0,56,0.4,196,3,17.0,674.0,864,2394,19,11.0,14,1,1,0,2
1659,1,2.5,0,2.0,0,41,0.1,88,7,18.0,787.0,1515,545,12,6.0,9,0,1,1,0
1606,0,1.4,0,3.0,0,57,0.1,154,4,4.0,1127.0,1924,3454,13,8.0,20,0,0,1,3
1470,1,1.7,1,6.0,0,45,0.1,121,1,9.0,777.0,1090,3259,10,1.0,14,1,0,1,3
895,0,0.5,1,6.0,0,16,0.3,164,8,14.0,126.0,1575,3122,7,2.0,4,0,0,1,2
1373,1,1.9,1,1.0,1,29,0.9,141,6,12.0,1220.0,1348,2752,15,2.0,7,1,1,1,3
1872,1,2.3,0,6.0,0,44,0.7,134,3,15.0,459.0,1259,1955,9,4.0,15,1,0,1,2
954,1,0.5,0,11.0,0,50,0.3,134,2,11.0,228.0,1058,438,17,10.0,2,1,0,0,0
904,0,2.7,1,4.0,0,19,0.6,147,6,7.0,1094.0,1496,545,19,18.0,16,0,0,0,0
591,0,2.1,1,5.0,1,16,0.5,196,7,20.0,952.0,1726,704,14,5.0,4,1,1,1,0
799,1,2.3,0,1.0,1,63,0.8,144,8,6.0,361.0,975,431,15,6.0,6,1,1,1,0
733,0,2.1,0,5.0,1,7,0.2,174,7,10.0,445.0,1409,1403,15,8.0,2,1,1,0,0
1030,0,1.6,1,3.0,1,58,0.2,138,6,20.0,1111.0,1812,2858,6,2.0,18,1,1,1,3
627,0,1.8,0,2.0,0,20,0.8,142,3,8.0,211.0,507,896,17,6.0,14,0,0,0,0
1655,1,0.5,1,6.0,1,4,0.1,105,3,12.0,626.0,1348,673,10,3.0,12,1,0,0,0
1379,0,1.1,1,1.0,1,18,0.2,129,2,16.0,838.0,885,2358,10,5.0,15,1,1,0,2
1478,1,0.8,1,12.0,0,48,0.7,99,5,17.0,694.0,882,1141,5,2.0,6,0,0,1,1
618,0,0.6,0,8.0,0,16,0.2,143,1,14.0,1105.0,1602,2262,16,15.0,4,0,1,0,2
1545,0,1.3,1,15.0,1,35,0.1,173,5,20.0,115.0,1352,3197,14,9.0,6,1,0,1,3
1923,0,1.3,0,3.0,0,24,1.0,86,4,4.0,874.0,1264,2479,9,2.0,15,1,1,0,2
1334,1,2.4,0,5.0,1,42,0.6,115,5,14.0,1187.0,1974,2542,10,1.0,8,1,0,0,3
1485,0,2.8,0,3.0,1,44,0.1,138,4,14.0,341.0,774,3271,14,12.0,8,1,1,0,3
1279,1,2.5,0,5.0,1,7,0.5,105,6,6.0,560.0,1633,1150,7,2.0,7,1,0,0,1
1048,1,1.5,0,2.0,1,29,1.0,182,1,4.0,29.0,1670,2146,11,10.0,2,1,0,0,1
1782,1,2.8,1,6.0,1,58,0.8,157,1,13.0,867.0,999,2405,15,10.0,16,1,0,1,2
1225,1,2.4,0,8.0,0,15,0.1,155,5,20.0,840.0,982,1970,16,8.0,15,1,1,0,1
1920,0,0.6,1,3.0,1,19,0.5,131,3,8.0,670.0,1152,3943,13,10.0,4,1,1,0,3
1549,1,0.5,0,4.0,0,8,0.4,158,5,7.0,721.0,1514,1998,12,7.0,15,1,1,0,2
765,0,2.9,0,6.0,1,18,0.1,153,7,14.0,6.0,793,1066,11,1.0,16,1,1,0,0
1189,1,2.3,0,13.0,0,8,0.5,198,3,14.0,379.0,932,893,9,6.0,13,1,1,0,0
1212,0,2.6,0,1.0,1,46,0.3,102,4,8.0,611.0,1715,2249,14,3.0,4,1,1,1,2
704,1,2.7,0,8.0,1,29,0.2,80,1,10.0,1108.0,1509,1122,9,3.0,10,1,1,1,0
957,1,2.5,0,4.0,0,7,0.8,107,5,10.0,1201.0,1485,1846,12,5.0,7,1,0,1,1
1009,1,1.0,1,2.0,0,2,0.6,102,8,14.0,912.0,1043,1716,7,5.0,15,0,0,0,1
1578,0,2.9,0,8.0,0,3,0.9,200,1,20.0,342.0,670,3483,17,4.0,16,1,0,0,3
956,0,0.5,0,1.0,1,41,1.0,143,7,6.0,511.0,1075,3286,17,8.0,12,1,1,0,3
1203,1,0.5,1,3.0,1,11,0.9,109,2,12.0,35.0,510,1672,17,13.0,19,1,1,0,0
1442,0,1.0,1,12.0,0,27,0.1,192,3,19.0,231.0,687,2227,6,5.0,20,1,1,0,1
641,1,1.1,0,4.0,1,7,0.9,192,1,3.0,417.0,759,3595,7,5.0,19,1,1,1,2
1778,0,1.4,1,3.0,1,45,1.0,132,4,17.0,88.0,516,1624,15,13.0,9,1,1,0,1
1891,0,2.8,0,7.0,1,37,0.4,129,7,14.0,169.0,1108,3704,8,6.0,11,1,0,0,3
701,1,0.7,0,7.0,0,15,0.5,160,3,11.0,1002.0,1256,1756,6,3.0,17,1,1,1,1
600,1,1.8,0,9.0,1,6,0.8,199,2,15.0,486.0,1032,3495,17,4.0,7,1,1,0,2
714,1,2.1,1,5.0,1,11,0.1,197,3,6.0,1750.0,1857,1164,15,12.0,19,1,1,0,1
915,0,2.0,0,8.0,1,31,0.3,91,3,20.0,875.0,1316,378,11,6.0,9,1,1,0,0
1285,0,0.8,1,4.0,1,11,0.8,199,5,7.0,1791.0,1896,3966,17,15.0,2,1,1,1,3
1770,0,2.3,1,8.0,0,7,0.8,128,7,6.0,886.0,1552,1480,6,1.0,17,1,0,0,1
718,0,2.8,0,10.0,0,59,0.8,113,6,13.0,1185.0,1387,1824,11,9.0,3,1,1,0,1
990,1,2.7,1,3.0,0,15,0.9,153,2,7.0,1466.0,1717,2698,11,8.0,6,1,0,0,2
1052,0,0.9,0,1.0,0,6,0.8,195,4,16.0,1191.0,1839,552,6,1.0,11,0,0,1,0
838,0,0.5,0,1.0,1,13,0.1,196,8,4.0,984.0,1850,3554,10,9.0,19,1,0,1,3
733,0,0.8,0,7.0,0,16,0.4,138,4,12.0,202.0,1787,2648,12,2.0,19,1,1,0,2
909,1,1.4,0,3.0,0,53,0.3,82,8,9.0,635.0,973,3187,12,9.0,4,1,0,0,2
1998,1,1.2,0,8.0,0,31,0.6,196,8,19.0,50.0,1356,2311,17,9.0,18,1,1,0,2
1314,1,2.2,0,11.0,1,40,0.8,116,7,1.0,328.0,1858,3033,9,8.0,17,1,1,1,3
1975,1,1.9,1,2.0,0,31,0.9,151,1,17.0,775.0,1607,3022,13,5.0,19,0,0,1,3
1320,0,0.5,1,7.0,0,48,0.2,168,5,16.0,103.0,1583,2893,8,5.0,9,0,0,1,2
1447,1,2.5,1,2.0,0,9,0.2,155,8,16.0,737.0,1455,568,12,11.0,8,0,0,0,0
1702,1,2.3,0,12.0,1,52,0.5,145,2,15.0,1397.0,1491,2501,16,12.0,4,1,0,0,3
1068,0,0.7,1,9.0,0,51,0.5,124,4,15.0,1405.0,1910,550,12,8.0,6,1,1,0,0
1156,1,1.2,1,2.0,1,50,0.8,159,2,7.0,322.0,547,470,7,6.0,15,1,1,0,0
890,1,2.2,1,4.0,0,44,0.5,198,8,13.0,1074.0,1873,751,7,3.0,3,0,0,0,0
612,1,1.9,1,6.0,0,16,0.3,102,7,7.0,1360.0,1891,3161,8,4.0,3,0,0,0,3
868,0,1.7,0,2.0,0,30,0.8,83,4,14.0,276.0,1026,1653,11,7.0,17,1,0,0,1
1007,0,2.0,0,8.0,0,45,0.1,95,5,2.0,1186.0,1529,3648,9,17.0,16,0,0,0,3
1871,0,2.1,0,4.0,1,41,0.4,144,8,5.0,275.0,1966,2727,15,8.0,11,1,0,0,3
991,0,2.0,0,2.0,1,12,0.3,158,5,6.0,1209.0,1678,2014,11,9.0,10,1,0,0,2
1049,1,2.2,0,9.0,0,63,0.5,135,5,17.0,199.0,1077,1022,11,3.0,13,0,0,0,0
1656,1,1.6,1,16.0,0,16,1.0,117,7,2.0,320.0,899,2856,14,3.0,20,1,1,1,2
1969,0,0.8,1,5.0,1,7,0.2,85,8,20.0,332.0,764,315,16,7.0,7,1,1,0,0
1174,1,0.9,0,7.0,0,30,1.0,147,4,20.0,744.0,1244,804,17,14.0,16,0,1,1,0
1413,1,0.5,1,4.0,1,45,0.4,104,5,6.0,568.0,1994,2973,17,8.0,15,1,0,1,3
1031,1,2.1,1,2.0,1,11,0.1,121,2,9.0,532.0,1247,2385,11,7.0,16,1,0,0,2
1345,1,3.0,0,7.0,1,38,0.1,162,3,11.0,512.0,1465,1322,9,2.0,15,1,0,0,1
1163,1,1.9,0,6.0,0,2,0.9,133,5,20.0,919.0,1076,1568,14,3.0,19,1,0,0,1
1959,0,0.5,1,5.0,0,18,0.7,191,6,20.0,65.0,1055,619,7,4.0,8,1,1,1,0
877,0,1.5,1,3.0,1,17,0.1,195,7,7.0,1064.0,1985,2004,11,8.0,9,1,1,1,1
818,0,1.3,0,14.0,0,43,0.9,177,6,15.0,111.0,510,546,12,6.0,7,1,1,1,0
582,0,0.5,0,8.0,0,32,0.7,107,3,11.0,1043.0,1702,2977,6,1.0,20,0,1,1,2
1510,1,0.9,1,2.0,0,45,0.9,180,5,3.0,708.0,1752,3484,9,6.0,11,0,1,1,3
1029,1,1.9,1,5.0,1,5,0.2,171,5,8.0,264.0,956,582,15,7.0,4,1,1,1,0
1872,0,0.5,1,3.0,0,17,0.7,89,6,6.0,1749.0,1767,724,17,3.0,9,1,0,1,1
1002,0,2.6,1,7.0,0,27,0.1,146,1,10.0,115.0,1111,1295,18,15.0,17,1,0,1,0
843,1,0.5,0,1.0,1,56,0.1,147,5,17.0,140.0,800,2341,10,1.0,20,1,1,1,1
1379,1,1.5,0,6.0,1,9,0.8,118,8,13.0,98.0,755,1693,11,4.0,18,1,0,1,1
1809,0,0.5,0,6.0,0,23,0.7,123,6,19.0,433.0,1661,2784,12,6.0,20,1,1,1,3
1986,0,2.7,1,3.0,1,64,0.2,162,4,20.0,236.0,1520,1377,5,3.0,15,1,1,1,1
1421,0,2.8,0,2.0,1,57,0.4,165,1,2.0,781.0,1657,2775,13,8.0,14,1,0,1,3
1217,1,0.5,0,3.0,0,17,0.5,182,4,13.0,628.0,632,1711,7,3.0,9,1,0,1,1
685,0,0.5,1,8.0,1,13,0.8,82,7,15.0,1091.0,1203,3210,15,7.0,2,1,1,1,3
783,1,1.7,1,9.0,1,27,0.3,150,6,11.0,458.0,1263,1185,15,4.0,6,1,1,1,0
1869,0,2.6,0,1.0,1,30,0.4,152,1,13.0,163.0,874,1375,15,3.0,19,1,0,0,1
1170,1,1.2,0,4.0,0,30,0.4,83,8,15.0,27.0,1722,1073,6,4.0,8,1,1,0,0
1412,1,2.4,0,5.0,0,25,0.8,96,8,17.0,516.0,1894,837,15,9.0,4,0,0,1,1
894,0,0.9,0,5.0,1,54,0.2,130,3,15.0,104.0,541,2829,11,5.0,13,1,0,1,2
839,0,2.0,1,9.0,0,14,0.4,175,7,3.0,564.0,1391,3835,15,8.0,11,1,0,0,3
842,1,1.8,1,4.0,0,57,1.0,124,3,10.0,348.0,730,1903,8,4.0,14,0,1,0,1
1114,0,2.8,0,4.0,1,9,0.4,197,3,15.0,1040.0,1071,907,10,7.0,17,1,1,0,0
1343,0,2.4,1,5.0,1,14,0.9,81,8,10.0,1063.0,1205,462,18,7.0,11,1,1,1,0
1396,1,0.6,0,5.0,0,37,0.7,134,4,15.0,560.0,1177,2694,18,3.0,19,0,0,1,2
855,1,0.5,0,2.0,1,59,0.5,159,2,3.0,1028.0,1196,1875,16,8.0,8,1,1,1,1
695,0,1.2,0,1.0,1,41,0.4,169,8,8.0,789.0,1211,2282,5,2.0,17,1,1,0,1
1494,0,1.9,0,2.0,1,47,0.4,129,2,9.0,207.0,1177,3202,13,1.0,14,1,0,0,3
1133,0,1.4,0,3.0,0,42,0.1,199,5,12.0,730.0,1543,1457,18,12.0,20,1,0,1,1
995,0,1.3,1,1.0,0,10,0.1,104,4,3.0,258.0,1889,609,11,3.0,5,1,0,1,0
963,0,0.5,0,1.0,1,60,0.8,156,3,3.0,742.0,821,2722,12,6.0,16,1,0,0,2
1851,0,2.9,0,1.0,0,53,0.7,112,6,2.0,174.0,1175,2678,6,1.0,8,1,0,0,2
1184,0,1.5,1,1.0,1,48,0.6,191,1,6.0,519.0,1577,3315,17,7.0,14,1,1,1,3
761,1,0.5,0,9.0,0,3,0.8,196,7,15.0,1325.0,1945,2248,19,3.0,15,1,1,1,2
1068,0,2.0,1,1.0,1,37,0.9,184,7,13.0,186.0,1998,1803,5,4.0,7,1,0,0,1
1862,0,1.5,0,1.0,0,62,1.0,182,1,2.0,386.0,1046,1017,11,3.0,9,1,0,0,1
1830,1,0.5,0,5.0,0,14,0.8,160,6,6.0,773.0,1353,1905,16,3.0,19,1,1,1,2
1403,0,2.7,0,2.0,1,26,0.1,164,5,3.0,461.0,1251,3371,13,9.0,9,1,0,1,3
1703,1,1.5,1,17.0,1,55,0.7,138,5,19.0,1411.0,1711,2993,5,1.0,20,1,1,1,3
1417,1,2.7,0,2.0,1,56,0.9,114,6,4.0,494.0,1649,590,11,3.0,6,1,0,1,0
543,0,0.5,0,8.0,0,57,0.7,192,5,4.0,391.0,984,2413,17,14.0,15,1,0,0,1
826,1,2.4,1,14.0,1,57,0.6,117,2,17.0,1077.0,1183,1907,15,14.0,5,1,0,0,1
818,0,0.5,1,2.0,1,23,0.2,192,5,17.0,586.0,1552,2518,19,12.0,3,1,1,0,2
869,0,1.3,1,3.0,0,34,0.1,104,2,4.0,478.0,539,3864,13,3.0,11,1,0,0,3
576,0,0.8,0,5.0,1,27,0.1,121,2,4.0,757.0,1518,1519,18,6.0,8,1,0,1,1
1914,0,0.7,0,1.0,0,35,0.6,118,8,2.0,942.0,1701,643,17,1.0,8,1,0,1,1
1384,1,2.8,1,15.0,0,60,0.1,82,3,18.0,983.0,1210,1221,18,12.0,15,1,0,1,1
1578,0,1.9,1,2.0,1,37,0.1,138,4,19.0,411.0,1226,2458,19,16.0,3,1,0,1,2
1718,1,2.5,1,14.0,1,6,0.1,183,5,16.0,564.0,980,3755,7,1.0,8,1,1,1,3
1190,0,2.0,1,4.0,0,40,0.2,93,5,1.0,1399.0,1646,3610,13,7.0,9,0,0,1,3
1312,0,0.5,1,12.0,1,28,0.8,163,2,18.0,1233.0,1854,1087,17,16.0,14,1,0,0,1
1992,1,0.6,1,11.0,0,2,0.1,141,1,14.0,649.0,895,3206,10,9.0,10,1,1,0,3
1775,1,1.5,0,3.0,0,41,0.1,163,1,7.0,1633.0,1869,2343,19,13.0,14,1,1,1,3
1308,0,1.9,0,2.0,1,61,0.7,106,3,7.0,59.0,1215,3355,15,2.0,4,1,0,1,3
1276,1,2.9,1,2.0,0,53,0.3,130,2,3.0,217.0,735,3798,19,10.0,8,1,1,1,3
1851,1,1.9,1,3.0,1,12,0.9,198,6,11.0,293.0,1967,735,7,6.0,14,1,0,1,0
1449,0,0.8,1,3.0,1,10,0.2,144,1,12.0,1518.0,1883,1032,10,9.0,8,1,1,1,1
930,1,1.3,1,1.0,1,14,0.4,97,6,10.0,77.0,1025,2457,11,7.0,17,1,1,0,1
618,0,1.1,0,11.0,1,45,0.2,188,3,20.0,1175.0,1586,2339,19,2.0,10,1,1,0,2
1003,1,2.9,0,16.0,1,16,0.6,119,8,19.0,190.0,1905,1798,16,7.0,10,1,0,0,1
821,0,1.8,1,5.0,0,54,0.1,109,3,9.0,253.0,1786,3185,8,4.0,15,1,0,0,2
708,0,1.9,0,9.0,0,26,0.3,116,7,1.0,206.0,620,1419,10,6.0,16,1,1,1,0
1087,0,1.3,0,10.0,1,16,0.3,166,3,9.0,295.0,589,690,14,6.0,6,1,0,1,0
644,1,1.3,1,7.0,1,30,0.5,114,1,16.0,1140.0,1654,2382,9,2.0,19,1,0,1,2
1986,0,0.5,1,3.0,1,51,0.1,165,8,20.0,282.0,1358,1614,17,12.0,3,1,1,1,1
1661,1,1.4,0,1.0,0,29,0.3,119,2,3.0,536.0,861,591,9,2.0,9,1,1,1,0
1183,1,0.5,1,3.0,1,48,0.1,120,8,12.0,268.0,1010,1152,8,3.0,3,1,0,0,0
1237,0,0.5,0,2.0,0,27,0.1,87,8,5.0,274.0,603,2454,14,8.0,8,1,1,1,2
1309,0,1.1,1,2.0,0,33,0.5,100,4,14.0,557.0,1402,2334,10,1.0,11,1,0,1,2
1511,0,2.5,1,3.0,0,21,0.2,114,3,18.0,1455.0,1982,3746,10,8.0,5,1,0,0,3
1018,0,2.2,0,8.0,0,16,0.6,153,8,10.0,992.0,1433,3143,17,12.0,20,0,1,0,3
1045,1,1.2,1,3.0,1,40,0.1,175,6,7.0,1078.0,1564,2137,11,8.0,12,1,0,1,2
989,1,1.6,1,11.0,1,24,0.6,156,8,17.0,614.0,679,2819,16,13.0,5,1,0,1,2
674,1,2.8,1,1.0,1,8,0.2,93,3,2.0,750.0,772,589,18,6.0,4,1,1,0,0
1494,0,1.6,0,3.0,1,45,0.8,158,5,4.0,449.0,790,3208,11,9.0,4,1,0,0,3
1119,0,0.5,1,2.0,1,23,0.4,164,4,1.0,821.0,915,3520,7,4.0,7,1,0,0,3
532,1,0.8,1,3.0,0,8,0.1,193,5,10.0,1213.0,1354,728,13,5.0,8,1,1,0,0
1934,1,2.6,1,3.0,1,46,0.1,103,1,17.0,619.0,1299,2940,13,9.0,2,1,1,1,3
640,0,0.6,0,6.0,0,20,0.1,163,4,15.0,710.0,1179,2844,7,5.0,18,1,1,0,2
1520,0,0.5,0,1.0,1,24,0.7,199,5,8.0,109.0,1909,3233,13,3.0,4,1,0,1,3
1576,1,2.0,0,1.0,1,20,0.6,148,3,4.0,410.0,1551,1379,17,1.0,16,1,0,1,1
1314,0,2.9,1,8.0,1,41,0.1,155,4,12.0,113.0,577,626,10,4.0,4,1,1,1,0
1275,1,0.5,1,3.0,1,5,0.2,152,1,9.0,19.0,501,3784,13,4.0,4,1,1,0,3
1926,1,1.1,0,13.0,1,50,0.2,179,6,17.0,371.0,1000,3809,17,12.0,17,1,1,0,3
576,0,1.2,0,1.0,0,30,0.8,162,8,5.0,847.0,893,2800,11,6.0,16,0,1,1,2
539,0,2.0,1,1.0,0,24,0.5,86,4,2.0,958.0,967,1326,7,4.0,3,1,1,0,0
601,1,1.7,1,3.0,1,6,0.8,169,4,11.0,818.0,1827,2651,14,8.0,9,1,0,1,2
578,1,2.6,1,2.0,1,57,0.2,162,8,8.0,1025.0,1433,1270,15,3.0,5,1,0,1,0
685,0,2.7,0,7.0,0,17,0.3,174,6,20.0,725.0,870,1223,8,4.0,18,1,0,1,0
959,1,1.7,0,15.0,0,13,0.4,155,4,16.0,87.0,736,3328,10,9.0,10,1,1,1,2
1182,0,0.5,0,7.0,1,8,0.5,138,8,16.0,275.0,986,2563,19,17.0,19,1,0,0,2
645,0,1.2,0,6.0,1,41,0.7,184,8,17.0,741.0,1130,714,18,2.0,13,1,1,0,0
1368,1,1.6,1,4.0,0,9,0.1,115,7,7.0,843.0,1145,2941,13,12.0,17,0,1,0,3
1855,0,0.5,0,5.0,0,32,0.6,187,8,18.0,267.0,1161,3933,7,1.0,7,1,0,1,3
798,0,0.6,1,6.0,1,21,0.5,110,2,12.0,661.0,1951,1647,12,2.0,3,1,0,0,1
1154,0,0.5,0,12.0,1,14,0.7,156,7,14.0,251.0,1801,587,8,3.0,4,1,1,1,0
1802,1,1.2,1,8.0,0,27,0.5,116,5,16.0,453.0,963,1885,10,9.0,7,1,1,0,2
942,0,1.4,1,8.0,0,27,0.5,91,4,9.0,754.0,1532,587,6,3.0,13,0,1,1,0
1149,1,2.2,0,4.0,0,30,0.2,106,6,5.0,1617.0,1675,3755,17,14.0,8,1,0,0,3
1402,1,0.6,1,3.0,0,46,0.3,87,7,12.0,1081.0,1767,347,17,1.0,12,1,0,1,0
986,1,0.8,0,13.0,1,28,0.8,182,4,20.0,199.0,679,1149,8,7.0,18,1,1,0,0
1076,0,2.5,0,3.0,0,14,0.2,105,5,4.0,545.0,1300,2043,7,5.0,14,0,0,0,1
1273,1,0.7,0,1.0,0,23,0.6,178,6,14.0,485.0,1399,558,8,5.0,13,1,0,0,0
808,0,0.5,1,5.0,0,8,0.1,192,4,1.0,618.0,1891,3762,15,9.0,12,1,0,1,3
1424,1,2.9,1,5.0,0,20,0.6,180,5,18.0,181.0,1199,2658,15,2.0,19,1,0,0,2
1057,0,2.1,0,4.0,0,5,0.5,154,5,13.0,416.0,1055,3705,6,4.0,13,1,0,0,3
1562,0,0.5,1,1.0,1,20,0.8,172,8,10.0,678.0,1676,3465,16,11.0,6,1,1,0,3
1197,0,1.3,0,3.0,1,20,0.5,149,6,7.0,649.0,1629,1797,19,5.0,4,1,1,1,1
1379,0,0.5,1,1.0,0,19,0.3,134,8,17.0,387.0,671,3912,11,2.0,19,0,1,1,3
1995,1,1.9,0,6.0,0,9,0.8,139,6,18.0,1830.0,1963,1203,14,12.0,18,1,1,1,2
675,0,2.3,0,10.0,0,60,0.9,144,5,15.0,192.0,757,1735,7,8.0,13,1,0,1,0
1130,1,2.5,0,4.0,1,58,0.1,132,5,14.0,88.0,1261,1018,17,1.0,16,1,0,0,0
